id,predicted
1,0
2,4
3,4
4,4
5,0
6,4
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,4
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,2
26,0
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,3
36,3
37,0
38,3
39,3
40,3
41,4
42,4
43,4
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,2
72,2
73,2
74,2
75,3
76,3
77,4
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,4
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,2
101,2
102,2
103,0
104,2
105,2
106,2
107,2
108,2
109,3
110,3
111,3
112,0
113,0
114,4
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,2
124,2
125,2
126,0
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,3
136,3
137,0
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,4
146,4
147,4
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,2
178,2
179,2
180,2
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,4
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,1
202,2
203,0
204,2
205,2
206,2
207,2
208,2
209,3
210,3
211,3
212,3
213,3
214,0
215,3
216,4
217,4
218,4
219,0
220,0
221,0
222,0
223,0
224,0
225,4
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,2
243,2
244,2
245,3
246,3
247,3
248,4
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,4
257,4
258,4
259,0
260,4
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,0
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,4
290,4
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,2
313,2
314,0
315,2
316,2
317,2
318,2
319,3
320,3
321,3
322,3
